;Stopkode;Pos.nr.;Kode til stoppunkt;Short name;Længdegrad;Breddegrad;Long name;GPS-radius;Oprettet;UTM32_Easting;UTM32_Northing
8502;77150090;1;771500901;KJELAUNSB;9,41970901;56,31963200;Aunsbjergvej/Kjellerupvej (Silkeborg Kom);50;05/07/2022;525959;6241733
8503;77150090;2;771500902;KJELAUNSB;9,41965401;56,32090000;Aunsbjergvej/Kjellerupvej (Silkeborg Kom);50;05/07/2022;525955;6241874
8504;77300050;1;773000501;Morsø Gymn;8,83355683;56,78462215;Morsø Gymnasium (Morsø Kommune);50;05/07/2022;489830;6293423
8505;77300050;2;773000502;Morsø Gymn;8,83334628;56,78467948;Morsø Gymnasium (Morsø Kommune);50;05/07/2022;489817;6293430
8506;77300050;3;773000503;Morsø Gymn;8,83361560;56,78444015;Morsø Gymnasium (Morsø Kommune);50;05/07/2022;489834;6293403
8507;77300050;4;773000504;Morsø Gymn;8,83349684;56,78468408;Morsø Gymnasium (Morsø Kommune);50;05/07/2022;489826;6293430
8508;77300430;1;773004301;Refshammer;8,84963242;56,78946097;Refshammervej (Nykøbing Mors);50;05/07/2022;490813;6293960
8509;77300430;2;773004302;Refshammer;8,84981421;56,78930079;Refshammervej (Nykøbing Mors);50;05/07/2022;490825;6293942
8510;77300440;1;773004401;Faaruphuse;8,83874180;56,77572705;Faaruphusevej(Sallingsundvej / Nykøbing Mors);50;05/07/2022;490145;6292432
8511;77300440;2;773004402;Faaruphuse;8,83866989;56,77563137;Faaruphusevej(Sallingsundvej / Nykøbing Mors);50;05/07/2022;490140;6292422
8512;77300500;1;773005001;Dalvænget;8,84037209;56,77875708;Dalvænget (Sallingsundvej / Nykøbing Mors);50;05/07/2022;490245;6292769
8513;77300500;2;773005002;Dalvænget;8,84057875;56,77871712;Dalvænget (Sallingsundvej / Nykøbing Mors);50;05/07/2022;490258;6292765
8514;77300510;1;773005101;Solsorteve;8,84510817;56,78477243;Solsortevej (Fruevej / Nykøbing Mors);50;05/07/2022;490536;6293438
8515;77300510;2;773005102;Solsorteve;8,84549550;56,78468463;Solsortevej (Fruevej / Nykøbing Mors);50;05/07/2022;490560;6293429
8516;77300520;1;773005201;Frydsbrønd;8,85134816;56,79187871;Frydsbrøndvej (Vesterbro / Nykøbing Mors);50;05/07/2022;490919;6294229
8517;77300520;2;773005202;Frydsbrønd;8,85134816;56,79187871;Frydsbrøndvej (Vesterbro / Nykøbing Mors);50;05/07/2022;490919;6294229
8518;77300600;1;773006001;Jernbanega;8,85653300;56,79340400;Jernbanegade (Jernbanevej / Nykøbing Mors);50;05/07/2022;491236;6294398
8519;77300600;2;773006002;Jernbanega;8,85784542;56,79332311;Jernbanegade (Jernbanevej / Nykøbing Mors);50;05/07/2022;491316;6294389
8520;77307910;1;773079101;Nykb Bust;8,86161900;56,79381200;Nykøbing Busterminal (Nykøbing Mors);50;05/07/2022;491547;6294442
8521;77307910;2;773079102;Nykb Bust;8,86207200;56,79398100;Nykøbing Busterminal (Nykøbing Mors);50;05/07/2022;491574;6294461
8522;77307910;3;773079103;Nykb Bust;8,86220000;56,79395700;Nykøbing Busterminal (Nykøbing Mors);50;05/07/2022;491582;6294459
8523;77307910;4;773079104;Nykb Bust;8,86201820;56,79385317;Nykøbing Busterminal (Nykøbing Mors);50;05/07/2022;491571;6294447
8524;77307910;9;773079109;Nykb Bust;8,86252433;56,79382758;Nykøbing Busterminal (Nykøbing Mors);50;05/07/2022;491602;6294444
8525;77500010;1;775000101;KLEJTRUP;9,63246988;56,58973342;Klejtrup (Viborg Kom);50;05/07/2022;538842;6271897
8526;77500010;2;775000102;KLEJTRUP;9,63246635;56,58986783;Klejtrup (Viborg Kom);50;05/07/2022;538842;6271912
8527;77500030;1;775000301;BJERREGRAV;9,49529364;56,58112658;Bjerregrav  (Viborg Kom);50;05/07/2022;530425;6270870
8528;77500030;2;775000302;BJERREGRAV;9,49512468;56,58113334;Bjerregrav  (Viborg Kom);50;05/07/2022;530414;6270870
8529;77500040;9;775000409;UGELRIS;9,43422375;56,60624838;Ugelris (Viborg Kom);50;05/07/2022;526656;6273641
8530;77500060;9;775000609;LYNDERUP;9,31891927;56,56786360;Lynderup (Viborg Kom);50;05/07/2022;519597;6269329
8531;77500070;9;775000709;EJSTRUP;9,42483854;56,55638558;Ejstrupvej/Ejstrup Bro (Viborg Kom);50;05/07/2022;526114;6268087
8532;77500080;1;775000801;SKRINGSTRU;9,43813541;56,58222533;Skringstrup (Viborg Kom);50;05/07/2022;526913;6270968
8533;77500080;2;775000802;SKRINGSTRU;9,43825429;56,58236395;Skringstrup (Viborg Kom);50;05/07/2022;526920;6270984
8534;77500100;9;775001009;VIE;9,39748109;56,61172002;Vie (Viborg Kom);50;05/07/2022;524396;6274236
8535;77500110;9;775001109;SKALSSKOLE;9,40409604;56,55604539;Skals Skole (Viborg Kom);50;05/07/2022;524839;6268041
8536;77500120;9;775001209;BRATTINGSB;9,63249586;56,59180244;Brattingsborgskolen (Viborg Kom);50;05/07/2022;538842;6272127
8537;77500130;1;775001301;VERDENSKOR;9,63760028;56,58915226;Verdenskortet (Viborg Kom);50;05/07/2022;539158;6271835
8538;77500140;1;775001401;HOBROVEJ;9,50340570;56,61760193;Grønnegade/Hobrovej (Viborg Kom);50;05/07/2022;530893;6274933
8539;77500140;2;775001402;HOBROVEJ;9,50345623;56,61767782;Grønnegade/Hobrovej (Viborg Kom);50;05/07/2022;530896;6274942
8540;77500150;1;775001501;SØNDERGADE;9,50110772;56,61425106;Himmerlandsstien/Søndergade (Viborg Kom);50;05/07/2022;530755;6274559
8541;77500150;2;775001502;SØNDERGADE;9,50127566;56,61419807;Himmerlandsstien/Søndergade (Viborg Kom);50;05/07/2022;530765;6274553
8542;77510010;1;775100101;SKALS;9,40299995;56,55519170;Skals (Viborg Kom);50;05/07/2022;524772;6267946
8543;77510010;2;775100102;SKALS;9,40286478;56,55525565;Skals (Viborg Kom);50;05/07/2022;524764;6267953
8544;77510011;1;775100111;FJORDVÆNG;9,40135505;56,54859891;Fjordvænget/Højskolebakken (Viborg Kom);50;05/07/2022;524675;6267211
8545;77510011;2;775100112;FJORDVÆNG;9,40120384;56,54859222;Fjordvænget/Højskolebakken (Viborg Kom);50;05/07/2022;524666;6267211
